route_name,area,ideal_score,confidence,tier,notes,model_score,model_safety,model_comfort,model_path,model_len_m
spread_3813_-12224,"city sample (30.5047, -97.7874)",,,,,90,1.0,0.74,0.88,722
spread_3784_-12205,"city sample (30.2733, -97.6337)",,,,,85,0.83,0.81,0.9,369
spread_3771_-12232,"city sample (30.1697, -97.8499)",,,,,80,0.88,0.76,0.72,1059
spread_3783_-12227,"city sample (30.2681, -97.8097)",,,,,75,0.72,0.74,0.81,1478
spread_3772_-12240,"city sample (30.1828, -97.9185)",,,,,68,0.66,0.8,0.63,867
spread_3794_-12213,"city sample (30.3559, -97.7025)",,,,,60,0.43,0.78,0.8,1086
spread_3802_-12224,"city sample (30.4184, -97.7909)",,,,,54,0.46,0.73,0.56,1451
spread_3775_-12222,"city sample (30.2006, -97.7684)",,,,,48,0.32,0.8,0.57,434
spread_3784_-12213,"city sample (30.2775, -97.7010)",,,,,42,0.33,0.77,0.39,989
spread_3780_-12238,"city sample (30.2469, -97.8964)",,,,,35,0.26,0.76,0.31,1088
spread_3802_-12210,"city sample (30.4174, -97.6771)",,,,,24,0.39,0.76,0.34,1571
spread_3770_-12208,"city sample (30.1675, -97.6591)",,,,,21,0.15,0.7,0.15,801
spread_3792_-12227,"city sample (30.3360, -97.8082)",,,,,11,0.26,0.73,0.47,588
spread_3790_-12198,"city sample (30.3263, -97.5773)",,,,,8,0.15,0.68,0.38,1246
spread_3764_-12226,"city sample (30.1126, -97.8027)",2,sure,hostile,"no sidewalk, very fast road",2,0.15,0.41,0.15,348
