route_name,area,ideal_score,confidence,tier,notes,model_score,model_safety,model_comfort,model_path,model_len_m
spread_5294_-8884,"city sample (42.3541, -71.0651)",,,,,90,0.93,0.83,0.91,675
spread_5294_-8897,"city sample (42.3525, -71.1702)",,,,,85,0.84,0.82,0.89,1018
spread_5302_-8892,"city sample (42.4166, -71.1295)",,,,,83,0.78,0.84,0.9,269
spread_5290_-8888,"city sample (42.3256, -71.1005)",,,,,73,0.61,0.78,0.9,680
spread_5294_-8888,"city sample (42.3595, -71.1011)",,,,,67,0.62,0.8,0.67,562
spread_5288_-8892,"city sample (42.3042, -71.1294)",,,,,63,0.68,0.67,0.62,1189
spread_5279_-8891,"city sample (42.2368, -71.1278)",,,,,55,0.36,0.83,0.73,1448
spread_5295_-8877,"city sample (42.3676, -71.0140)",,,,,49,0.51,0.8,0.84,1160
spread_5297_-8893,"city sample (42.3803, -71.1436)",,,,,44,0.8,0.82,0.9,644
spread_5299_-8886,"city sample (42.3950, -71.0835)",,,,,38,0.64,0.76,0.79,670
spread_5282_-8897,"city sample (42.2635, -71.1687)",,,,,33,0.31,0.79,0.83,1395
spread_5300_-8879,"city sample (42.4038, -71.0274)",,,,,26,0.61,0.75,0.89,797
spread_5291_-8883,"city sample (42.3287, -71.0608)",,,,,18,0.48,0.79,0.85,438
spread_5285_-8886,"city sample (42.2817, -71.0871)",,,,,12,0.72,0.83,0.48,543
spread_5290_-8895,"city sample (42.3258, -71.1587)",,,,,9,0.39,0.56,0.42,879
